EVTNAME500421;We emerged victorious from the civil war;;;;;;;;;;;;x;
EVTDESC500421;We managed to defeat the absolutists and the communists, it's time to decide the future of the nation;;;;;;;;;;;;x;
EVTOPTA500421;Follow 100% end to the monarch;;;;;;;;;;;;x;
EVTOPTB500421;Democratize the country;;;;;;;;;;;;x;
EVTNAME500422;The spanish civil war;;;;;;;;;;;;x;
EVTDESC500422;The Spanish civil war has started and it is close to our border, what should we do?;;;;;;;;;;;;x;
EVTOPTA500422;Take Galicia;;;;;;;;;;;;x;
EVTOPTB500422;Continue with plans to restore the empire;;;;;;;;;;;;x;
EVTNAME500532;An independent bohemia;;;;;;;;;;;;x;
EVTDESC500532;Now that we have become independent, we have to see what to do so that the nation prospers again. Some say that we are Germanic and others Slavic.?;;;;;;;;;;;;x;
EVTOPTA500532;We are German;;;;;;;;;;;;x;
EVTOPTB500532;We are Slavs;;;;;;;;;;;;x;
