Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_virreinato_del_peru_title;Form Virreinato del Peru!;Form Virreinato del Peru!;Form Virreinato del Peru!;;Forma el Virreinato del Peru!;;;;;;;;;x
form_virreinato_del_peru_desc;Get back Virreinato del Peru!;Get back Virreinato del Peru!;Get back Virreinato del Peru!;;Consigue devuelta el Virreinato del Peru!;;;;;;;;;x
form_virreinato_de_nueva_espana_title;Form Virreinato de Nueva Espa�a!;Form Virreinato de Nueva Espa�a!;Form Virreinato de Nueva Espa�a!;;Forma el Virreinato de Nueva Espa�a!;;;;;;;;;x
form_virreinato_de_nueva_espana_desc;Get back Virreinato de Nueva Espa�a!;Get back Virreinato de Nueva Espa�a!;Get back Virreinato de Nueva Espa�a!;;Consigue devuelta el Virreinato de Nueva Espa�a!;;;;;;;;;x
form_virreinato_de_la_plata_title;Form Virreinato de la Plata!;Form Virreinato de la Plata!;Form Virreinato de la Plata!;;Forma el Virreinato de la Plata!;;;;;;;;;x
form_virreinato_de_la_plata_desc;Get back Virreinato de la Plata!;Get back Virreinato de la Plata!;Get back Virreinato de la Plata!;;Consigue devuelta el Virreinato de la Plata!;;;;;;;;;x
form_virreinato_de_nueva_granada_title;Form Virreinato de Nueva Granada!;Form Virreinato de Nueva Granada!;Form Virreinato de Nueva Granada!;;Forma el Virreinato de Nueva Granada!;;;;;;;;;x
form_virreinato_de_nueva_granada_desc;Get back Virreinato de Nueva Granada!;Get back Virreinato de Nueva Granada!;Get back Virreinato de Nueva Granada!;;Consigue devuelta el Virreinato de Nueva Granada!;;;;;;;;;x
form_spanish_commonwealth_title;Form Spanish Commonwealth;;;;;;;;;;;;;
form_spanish_commonwealth_desc;Now that we have restored the viceroyalties we have to gather all the Hispanic people to fight against the power of the kaisereich;;;;;;;;;;;;
Iberia_car_title;Unify Iberia;;;;;;;;;;;;;
Iberia_car_desc;After winning the civil war we have managed to establish a period of domination and we have to extend it to Portugal;;;;;;;;;;;;
Iberia_ita_title;Recover the island of Sardinia;;;;;;;;;;;;;
Iberia_ita_desc;Our generals decided that the most important thing was to recover the glorious European empire to face the influence of the Kaisereich;;;;;;;;;;;;
Iberia_ita_2_title;Recover the two sicilies;;;;;;;;;;;;;
Iberia_ita_2_desc;After the war of the Spanish succession, we lost control of the two Sicilies, it is time to recover them;;;;;;;;;;;;
Iberia_ben_title;Take back belgium;;;;;;;;;;;;;
Iberia_ben_desc;After the great war the domain of Belgium fell under German rule, that must end;;;;;;;;;;;;
Iberia_ben_2_title;Take back Netherlands and Luxerburg;;;;;;;;;;;;;
Iberia_ben_2_desc;Now that we've got the Belgium back it's time to get the Spanish Netherlands back;;;;;;;;;;;;
Eng_dua_3_title;take back ireland;;;;;;;;;;;;;
Eng_dua_3_desc;Ireland became independent in the civil war it's time for them to come back;;;;;;;;;;;;
Eng_dua_4_title;Take back normandy;;;;;;;;;;;;;
Eng_dua_4_desc;Our ancestors had Normandy in their possession, it's time for them to return.;;;;;;;;;;;;
Eng_dua_5_title;Annex britannia;;;;;;;;;;;;;
Eng_dua_5_desc;It's time to expand into France;;;;;;;;;;;;
Eng_dua_6_title;Expand into the south of France;;;;;;;;;;;;;
Eng_dua_6_desc;Now that we ve mastered the north of France it's time to head south;;;;;;;;;;;;
Eng_dua_7_title;Finish off the french;;;;;;;;;;;;;
Eng_dua_7_desc;It s time to take over the former territory of the Angevin empire and wipe out the French country;;;;;;;;;;;;
Eng_dua_8_title;Form Syndicalist Union;;;;;;;;;;;;;
Eng_dua_8_desc;It is time we have to unite the syndicalist revolts in a single flag;;;;;;;;;;;;
Eng_cam_title;Future plans;;;;;;;;;;;;;
Eng_cam_desc;Now we have to see what to do so that the nation returns to the top;;;;;;;;;;;;
Eng_cam_2_title;Execute the plans;;;;;;;;;;;;;
Eng_cam_2_desc;We have 2 offers for the country to become a great power number 1 again;;;;;;;;;;;;
Eng_cam_3_title;Take back ireland;;;;;;;;;;;;;
Eng_cam_3_desc;Ireland became independent in the civil war it's time for them to come back;;;;;;;;;;;;
Eng_cam_4_title;Restore the dominoes in a new red flag;;;;;;;;;;;;;
Eng_cam_4_desc;After the great war the British dominions became independent, it is time for them to return whether they want to or not;;;;;;;;;;;;
Eng_cam_5_title;British pride;;;;;;;;;;;;;
Eng_cam_5_desc;Now that we have regained the empire we have to start with a system of indoctrination in the newly annexed regions.;;;;;;;;;;;;
Commonwealth_emp_title;Prepare the counter revolution;;;;;;;;;;;;;
Commonwealth_emp_desc;After the revolution, the situation has not improved, we have to plan a strategy so that the king returns to the lathe;;;;;;;;;;;;
Commonwealth_emp_2_title;The Second Civil War;;;;;;;;;;;;;
Commonwealth_emp_2_desc;We have recruited the royalist troops to prepare the return of the king at any cost;;;;;;;;;;;;
Commonwealth_emp_3_title;Victory;;;;;;;;;;;;;
Commonwealth_emp_3_desc;Now we have to reorganize ourselves and notify some of our few faithful colonies to return to the country;;;;;;;;;;;;
Commonwealth_emp_4_title;Regain influence in Ireland;;;;;;;;;;;;;
Commonwealth_emp_4_desc;After the war we lost Ireland thanks to the Germans it's time they came back;;;;;;;;;;;;
Commonwealth_emp_5_title;Recover South Africa;;;;;;;;;;;;;
Commonwealth_emp_5_desc;The first step to recover the old empire;;;;;;;;;;;;
Commonwealth_emp_6_title;Crown jewel;;;;;;;;;;;;;
Commonwealth_emp_6_desc;For a long time, India was one of the most useful colonies. We have to start the reconquest by the countries loyal to Great Britain.;;;;;;;;;;;;
Commonwealth_emp_7_title;Regain dominance in Oceania;;;;;;;;;;;;;
Commonwealth_emp_7_desc;The last colony we are missing would be the former Austria;;;;;;;;;;;;
Commonwealth_emp_8_title;End the reconquest of India;;;;;;;;;;;;;
Commonwealth_emp_8_desc;After conquering Australia we need to conquer the jewel in the crown to recover our dominance in the world;;;;;;;;;;;;
Commonwealth_emp_9_title;Form the Commonwealth;;;;;;;;;;;;;
Commonwealth_emp_9_desc;To avoid what happened to Great Britain we have to form a confederation of Commonwealth countries;;;;;;;;;;;;
spa_win_title;Victory in the Spanish Civil War;;;;;;;;;;;;;
spa_win_desc;After so much time we have won the war now we have to see what direction the government will take;;;;;;;;;;;;
Iberia_nor_title;Form the Iberian union;;;;;;;;;;;;;
Iberia_nor_desc;The only way to protect Iberia is to unite in a single flag;;;;;;;;;;;;
borbonia_title;Unite the house of bourbon;;;;;;;;;;;;;
borbonia_desc;In the Spanish Succession war we reached a dynastic unity between the kingdom of France and Spain it is time for the 2 crowns to return;;;;;;;;;;;;
iberia_portugal_title;Expand throughout Spain;;;;;;;;;;;;;
iberia_portugal_desc;The civil war broke out after securing Galicia, the only way to defend the Spanish was to unite it with Portugal in a new Iberian union.;;;;;;;;;;;;
iberia_portugal_2_title;End the domination of Spain in Iberia;;;;;;;;;;;;;
iberia_portugal_2_desc;For many times we were in the shadow of Spain in Europe and America that must change;;;;;;;;;;;;
iberia_portugal_3_title;Procramate the domain in Iberia;;;;;;;;;;;;;
iberia_portugal_3_desc;Now that we have finished with Spain, it is time to unify Iberia once and for all;;;;;;;;;;;;
Bohemia_Germ_cam_title;Expand into southern Germany;;;;;;;;;;;;;
Bohemia_Germ_cam_desc;Now we have to take southern Germany;;;;;;;;;;;;
Bohemia_Germ_cam_2_title;Establish the idea of a new Germanic federation;;;;;;;;;;;;;
Bohemia_Germ_cam_2_desc;We have seen that the German empire is not what it was before, it is time to reunify Germany with a new country with a plague capital.;;;;;;;;;;;;
Bohemia_Germ_cam_3_title;Create the new German confederation;;;;;;;;;;;;;
Bohemia_Germ_cam_3_desc;The original Germanic union left many Germans like the Austrians and Luxembourg. It is time we changed that with this new confederation.;;;;;;;;;;;;
Bohemia_Zap_cam_title;Gather the Slavs to southern Poland;;;;;;;;;;;;;
Bohemia_Zap_cam_desc;Now that we have managed to Unify Czechoslovakia, it is time to unify the Slavs into a single nation, starting with the Poles.;;;;;;;;;;;;
Bohemia_Zap_cam_2_title;Free the Poles;;;;;;;;;;;;;
Bohemia_Zap_cam_2_desc;Now we have to finish annexing the Slavs into a single flag;;;;;;;;;;;;
Bohemia_Zap_cam_3_title;Create the union of the Slavs;;;;;;;;;;;;;
Bohemia_Zap_cam_3_desc;The Slavic people were always discriminated against by the Germans, the Austrians, etc. It is time to form a strong empire. It is time to form Zapadoslavia.;;;;;;;;;;;;
Fra_comi_3_title;Take the French-speaking peoples in Belgium;;;;;;;;;;;;;
Fra_comi_3_desc;After recovering Alsace we have to protect the seats of the Kaiserreich;;;;;;;;;;;;
Fra_comi_4_title;Take all of Belgium;;;;;;;;;;;;;
Fra_comi_4_desc;After taking half of Belgium it is time to take all of Belgium in the new Red France;;;;;;;;;;;;
Fra_comi_5_title;Protect the population of Belgium;;;;;;;;;;;;;
Fra_comi_5_desc;Now that we have control of all of Belgium we have to respect the people who live there.;;;;;;;;;;;;
Fra_comi_6_title;take the netherlands;;;;;;;;;;;;;
Fra_comi_6_desc;It is time to extend the revolution to the Netherlands;;;;;;;;;;;;
Fra_comi_7_title;Protect Iberia;;;;;;;;;;;;;
Fra_comi_7_desc;After taking the Netherlands we have to expand the revolution to Iberia;;;;;;;;;;;;
Fra_comi_8_title;Accept the Iberian population;;;;;;;;;;;;;
Fra_comi_8_desc;For a long time the Iberian people were under poor governments, now they are going to have a better life in the French commune;;;;;;;;;;;;
france_rev_title;The lies of the government;;;;;;;;;;;;;
france_rev_desc;When we caused the revolution, the idea was to improve the quality of life of the population but the government oppresses us worse than the previous one, it is time for the 3rd republic to return.;;;;;;;;;;;;
france_rev_2_title;Le retour de la r�publique;;;;;;;;;;;;;
france_rev_2_desc;When we caused the revolution, the idea was to improve the quality of life of the population but the government oppresses us worse than the previous one, it is time for the 3rd republic to return.;;;;;;;;;;;;
france_rev_3_title;The return to Europe;;;;;;;;;;;;;
france_rev_3_desc;After causing the civil war we have managed to win the war and it is time to plan the Reconstrullion of France;;;;;;;;;;;;
Rep_Fra_title;The union of the 2 nations;;;;;;;;;;;;;
Rep_Fra_desc;Democracy returned to France but the United Kingdom still remains, we do not have to unite the 2 nations to be able to maintain democracy in Europe;;;;;;;;;;;;
capital_sic_Fac_title;A new direction for Italy;;;;;;;;;;;;;
capital_sic_Fac_desc;Now that our enemies have been destroyed, it is time to finally reunify Italy and make the capital Rome again.;;;;;;;;;;;;
Fra_caro_3_title;integrate the Swiss;;;;;;;;;;;;;
Fra_caro_3_desc;Switzerland has been within the Carolingian empire for a long time, it is time for them to return;;;;;;;;;;;;
Fra_caro_4_title;Take the Belgian state;;;;;;;;;;;;;
Fra_caro_4_desc;The Belgian people were oppressed by the Germans for a long time.;;;;;;;;;;;;
Fra_caro_5_title;Annex to Netherlands;;;;;;;;;;;;;
Fra_caro_5_desc;It's time for the Netherlands to be French;;;;;;;;;;;;
Fra_caro_6_title;The natural boldes of France;;;;;;;;;;;;;
Fra_caro_6_desc;The Germans have humiliated us for too long it's time to take what belongs to us;;;;;;;;;;;;
Fra_caro_7_title;The offensive towards Italy;;;;;;;;;;;;;
Fra_caro_7_desc;It is time for Italy to enter our great Empire;;;;;;;;;;;;
Fra_caro_8_title;Finish off the Germans;;;;;;;;;;;;;
Fra_caro_8_desc;After this war the Germans will no longer be a threat;;;;;;;;;;;;
Fra_caro_9_title;Restore the Empire of Charlemagne;;;;;;;;;;;;;
Fra_caro_9_desc;After so many wars we can sit down and restore the great Carolignian empire;;;;;;;;;;;;
Fra_napo_3_title;Offensive against the Belgians;;;;;;;;;;;;;
Fra_napo_3_desc;Now that we have recovered Alsace and Lorraine we have to counterattack the Germans by taking their satellite state;;;;;;;;;;;;
Fra_napo_4_title;Intervention in the Netherlands;;;;;;;;;;;;;
Fra_napo_4_desc;Napoleon attacked and took the Netherlands a long time ago to restore his legacy, it's time to attack;;;;;;;;;;;;
Fra_napo_5_title;Revenge against the Spanish;;;;;;;;;;;;;
Fra_napo_5_desc;The Spanish revealed themselves to us and were one of the reasons why we lost the Napoleonic war. It is time to take revenge.;;;;;;;;;;;;
Fra_napo_6_title;Take northern Italy;;;;;;;;;;;;;
Fra_napo_6_desc;Now it is time to recover the territories in Italy;;;;;;;;;;;;
Fra_napo_7_title;The Great Revenge;;;;;;;;;;;;;
Fra_napo_7_desc;The Germans humiliated us for a long time, first with the Great War, second with being forced to flee to Africa, but this is now over.;;;;;;;;;;;;
Italy_empire_title;Gloria all impero italiano;;;;;;;;;;;;;
Italy_empire_desc;Now that we are done with Rome we have to proclaim the unification of Italy but now as an empire;;;;;;;;;;;;
sar_sic_union_title;Force union;;;;;;;;;;;;;
sar_sic_union_desc;They don't know but the best thing for Italy is to unify;;;;;;;;;;;;
restaurar_italy_title;Take the center of Italy;;;;;;;;;;;;;
restaurar_italy_desc;Now that we have recovered the territories of Sardinia, it is time to take central Italy.;;;;;;;;;;;;
restaurar_italy_ahora_sip_title;Glory to Italy;;;;;;;;;;;;;
restaurar_italy_ahora_sip_desc;Now that we have all of Italy it is time to reunify all the Italian states again;;;;;;;;;;;;
capital_sic_Fas_title;Glory to Italy;;;;;;;;;;;;;
capital_sic_Fas_desc;Now that we take all the Italian territories we can unify Italy, an Italy that will not be weak.;;;;;;;;;;;;
tomar_papado_sicilia_title;Attack the territory of the papacy;;;;;;;;;;;;;
tomar_papado_sicilia_desc;Now we have to refuse, starting with the former territories of the papacy.;;;;;;;;;;;;
italia_roja_title;End the federation;;;;;;;;;;;;;
italia_roja_desc;Now we have to finish off the central Italian states;;;;;;;;;;;;
todos_los_cores_title;The new red Italy;;;;;;;;;;;;;
todos_los_cores_desc;Now we have to unify Italy in a new government, a unionist government.;;;;;;;;;;;;
Italy_empire_f_title;Gloria all impero italiano;;;;;;;;;;;;;
Italy_empire_f_desc;Now that we have all the territories we can proclaim the Italian empire;;;;;;;;;;;;
roma_cap_title;imperium Romanum;;;;;;;;;;;;;
roma_cap_desc;Now that we have unified all the Italian territories, it is time to expand further throughout Europe and recover what was lost.;;;;;;;;;;;;
roman_tunisia_title;Get Tunisia!;Get Tunisia!;Get Tunisia!;;Consigue Tunisia!;;;;;;;;;x
roman_tunisia_desc;Let's go for africa!;Let's go for africa!;Let's go for africa!;;Vamos a por Africa!;;;;;;;;;x
roman_east_title;Expand to east!;Expand to east!;Expand to east!;;Expande hacia el este!;;;;;;;;;x
roman_east_desc;Let's go for some territories from the east!;Let's go for some territories from the east!;Let's go for some territories from the east!;;Vamos a por algunos territorios del este!;;;;;;;;;x
roman_extreme_east_title;Expand more to east!;Expand more to east!;Expand more to east!;;Expande mas hacia el este!;;;;;;;;;x
roman_extreme_east_desc;Get more territories from the east!;Get more territories from the east!;Get more territories from the east!;;Consigue mas territorios del este!;;;;;;;;;x
rome_balcans_title;Reclaim the balkans!;Reclaim the balkans!;Reclaim the balkans!;;Reclama los balcanes!;;;;;;;;;x
rome_balcans_desc;The balkans are now reclaimed by the Roman Empire name!;The balkans are now reclaimed by the Roman Empire name!;The balkans are now reclaimed by the Roman Empire name!;;Los balkanes ahora son reclamadas bajo el nombre del Imperio Romano!;;;;;;;;;x
rome_anatolia_title;Reclaim the anatolian peninsula!;Reclaim the anatolian peninsula!;Reclaim the anatolian peninsula!;;Reclama la peninsula de anatolia!;;;;;;;;;x
rome_anatolia_desc;The anatolian peninsula was from a long time turk.. was..;The anatolian peninsula was from a long time turk.. was..;The anatolian peninsula was from a long time turk.. was..;;La peninsula de anatolia fue por un largo tiempo turco.. fue..;;;;;;;;;x
constantinople_instanbul_title;Change the name of Instanbul to Constantinople!;Change the name of Instanbul to Constantinople!;Change the name of Instanbul to Constantinople!;;Cambia el nombre de Instanbul a Constantinopla;;;;;;;;;x
constantinople_instanbul_desc;A better name is needed for that bad name!;A better name is needed for that bad name!;A better name is needed for that bad name!;;Un mejor nombre se necesita para ese sucio nombre!;;;;;;;;;x
rome_england_title;Let's go for england!;Let's go for england!;Let's go for england!;;Vamos a por Inglaterra!;;;;;;;;;x
rome_england_desc;By the Cesar name!;By the Cesar name!;By the Cesar name!;;Bajo el nombre de Cesar!;;;;;;;;;x
roman_egypt_title;Reclaim Egypt!!;Reclaim Egypt!!;Reclaim Egypt!!;;Reclama Egipto!!;;;;;;;;;x
roman_egypt_desc;These egyptians doesn't need to exist!;These egyptians doesn't need to exist!;These egyptians doesn't need to exist!;;Estos egipcios no necesitan existir!;;;;;;;;;x
proclaim_romanempire_title;Proclaim the roman empire!;Proclaim the roman empire!;Proclaim the roman empire!;;Proclama el Imperio Romano!;;;;;;;;;x
proclaim_romanempire_desc;Roma expanded a lot, but we can't be always a kingdom..;Roma expanded a lot, but we can't be always a kingdom..;Roma expanded a lot, but we can't be always a kingdom..;;Nos expandimos mucho, pero no siempre podemos ser un reino..;;;;;;;;;x
roman_iberian_finish_title;Finish with iberia!;Finish with iberia!;Finish with iberia!;;Termina con iberia!;;;;;;;;;x
roman_iberian_finish_desc;Now iberia will be for us!;Now iberia will be for us!;Now iberia will be for us!;;Ahora iberia sera nuestra!;;;;;;;;;x
roman_north_africa_title;Roman North Africa!;Roman North Africa!;Roman North Africa!;;La Norte Africa Romana!;;;;;;;;;x
roman_north_africa_desc;Let's go to the south mediterran!;Let's go to the south mediterran!;Let's go to the south mediterran!;;Vamos a por el sur del mediterraneo!;;;;;;;;;x
roman_iberia_title;To iberia!;To iberia!;To iberia!;;A Iberia!;;;;;;;;;x
roman_iberia_desc;Let's expand to iberia!;Let's expand to iberia!;Let's expand to iberia!;;Vamos a expandirnos hacia Iberia!;;;;;;;;;x
allow_mp_options_title;Enable MP Features;Options multijoueur;Mehrspieleroptionen;;Permitir Caracter�sticas MP;;;;;;;;x
allow_mp_options_desc;Enable additional options for multiplayer games.;Active des options suppl�mentaires pour les jeux multijoueurs.;Aktiviert zus�tzliche Optionen f�r 
disallow_mp_options_title;Disable MP Features;Emp�cher les options multijoueur;Multiplayer-Optionen deaktivieren;;Desactivar Caracter�sticas MP;;;;;;;;x
disallow_mp_options_desc;Disables additional features for mp.;D�sactive les options suppl�mentaires pour les jeux multijoueurs.;Deaktiviert zus�tzliche Optionen f�r 
givegrants_title;Get Grants!;Get Grants!;Get Grants!;;Consigue dinero!;;;;;;;;;x
givegrants_desc;Get Grants by other players!;Get Grants by other players!;Get Grants by other players!;;Consigue dinero de otros jugadores!;;;;;;;;;x
peru_bolivia_title;Restore the Peru-Bolivian confederation;;;;;;;;;;;;;
peru_bolivia_desc;Many years ago there was a confederation, the Peru-Bolivian confederation, which was dissolved by our enemies. It is time for it to return.;;;;;;;;;;;;
cisplatina_title;Recover Cisplatina;;;;;;;;;;;;;
cisplatina_desc;The empire of Brazil in Uruguay but became independent now has to return to the province of Cisplatina;;;;;;;;;;;;
pro_reb_title;Recapture the rebel province;;;;;;;;;;;;;
pro_reb_desc;After the war, Uruguay became independent in an unequal treaty, our country is not in the best conditions. Annexing Uruguay will raise nationalism and they will return.;;;;;;;;;;;;
pata_title;Annex to the revolt in Patagonia;;;;;;;;;;;;;
pata_desc;It is now useless to continue with the revolt in the south of Argentina, it is time for them to pass to our direct administration;;;;;;;;;;;;
back_to_basic_title;Back to basic;;;;;;;;;;;;;
back_to_basic_desc;go back to the basics when everything was simpler when the empire did everything;;;;;;;;;;;;
a_new_admistration_title;A new administration;;;;;;;;;;;;
a_new_admistration_desc;We need a new administration so the country can progress;;;;;;;;;;;;
extra_decicionsaf_title;Eneable extra decisions;;;;;;;;;;;;
extra_decicionsaf_desc;Eneable extra decisions;;;;;;;;;;;;
extra_decicionsaf1_title;Ultimatum to Somalia;;;;;;;;;;;;
extra_decicionsaf1_desc;Send ultimatum to somalia;;;;;;;;;;;;
kill_the_kaiser_title;Kill the kaiser;;;;;;;;;;;;
kill_the_kaiser_desc;Kill the kaiser for the independent afrika;;;;;;;;;;;;
form_africapic_title;Create The African Union;;;;Crear la unión Africana;;;;;;;;
